,link,uploaded_date,views,likes,dislikes
0,https://www.youtube.com/watch?v=chtUIhEFZyc,4 Oct 2019,"1,816",39,None
1,https://www.youtube.com/watch?v=QQ_3S-IQm38,15 Feb 2018,"22,735,119","240,727","10,948"
2,https://www.youtube.com/watch?v=bo-LxCpnD2U,17 May 2020,419,26,None
3,https://www.youtube.com/watch?v=XVuNGKnsqUA,21 Jul 2016,"2,335,590","67,927",521
4,https://www.youtube.com/watch?v=eBRnDTDgKss,19 Sep 2020,837,16,None
5,https://www.youtube.com/watch?v=qcv6O-98dmI,7 Mar 2015,"39,106",346,13
6,https://www.youtube.com/watch?v=u9538JcFZMU,28 Jul 2017,"316,423","1,837",154
7,https://www.youtube.com/watch?v=9YF7MAR-WN8,24 May 2012,"301,936",499,115
8,https://www.youtube.com/watch?v=fOMc7u5NGEc,16 Sep 2020,"1,386",15,3
9,https://www.youtube.com/watch?v=PO9Z2VZ9ixE,7 Sep 2018,"8,969,795","132,580","4,373"
10,https://www.youtube.com/watch?v=NOA7d7zNImw,10 Feb 2020,"687,695","4,563",190
11,https://www.youtube.com/watch?v=pVIvO83_Rtc,14 Jun 2017,"92,635,876","203,804","31,853"
12,https://www.youtube.com/watch?v=QPrcmbkIpRk,22 Jun 2019,"213,834",726,147
13,https://www.youtube.com/watch?v=8AxWqsjIngU,20 Dec 2018,"24,121,383","84,836","43,561"
14,https://www.youtube.com/watch?v=wPNQw8naE2Q,22 Mar 2014,"844,784,060","1,568,297","899,231"
15,https://www.youtube.com/watch?v=Z4kDfGf6Y00,12 Apr 2019,"1,833",99,2
16,https://www.youtube.com/watch?v=kt1lgIQW7rY,Premiered on 10 Jul 2019,"843,572","4,834",446
17,https://www.youtube.com/watch?v=tvVmuvBVWgo,14 Jun 2020,"5,508",49,2
18,https://www.youtube.com/watch?v=VxRQW4FGKNc,13 Aug 2018,"151,281,712","510,925","238,990"
19,https://www.youtube.com/watch?v=u9Dg-g7t2l4,8 Dec 2015,"643,018,240","3,850,748","223,698"
20,https://www.youtube.com/watch?v=RMf7OuARCaM,30 Oct 2011,"90,498",726,28
21,https://www.youtube.com/watch?v=HpzjRrfdZoY,11 Mar 2018,"3,935,410","56,234","2,641"
22,https://www.youtube.com/watch?v=VmP8RET6Bi0,14 Aug 2020,"130,073","2,787",375
23,https://www.youtube.com/watch?v=FMr2lLjW85o,6 Feb 2020,"814,793","14,938",143
24,https://www.youtube.com/watch?v=pTn-kJxAWrs,18 Jan 2018,"3,216",66,3
25,https://www.youtube.com/watch?v=avJeEM0V2-c,10 Jul 2020,615,33,None
26,https://www.youtube.com/watch?v=copoFFyD0gs,13 Aug 2019,"9,302",154,7
27,https://www.youtube.com/watch?v=z9yqXzPLUNg,30 Mar 2019,"2,842,937","5,468","3,067"
28,https://www.youtube.com/watch?v=4LryRV4KQCs,25 Aug 2018,"18,445,746","859,486","11,992"
29,https://www.youtube.com/watch?v=1sj0fr5I1H0,27 Oct 2017,"1,449",4,4
30,https://www.youtube.com/watch?v=RwLbg7uf5g0,1 Jul 2016,"5,062",32,5
31,https://www.youtube.com/watch?v=RBPU8p35xv4,16 Apr 2020,902,34,2
32,https://www.youtube.com/watch?v=WRxfnoonqJU,9 Jul 2020,"134,536","1,148",148
33,https://www.youtube.com/watch?v=4kWKpdh9BvI,28 Sep 2020,121,7,1 dislike
34,https://www.youtube.com/watch?v=QO8N9vkqYt8,9 Sep 2017,"2,845",33,13
35,https://www.youtube.com/watch?v=bCumY_Q3Cvs,11 Jan 2018,"1,437,814","9,625",931
36,https://www.youtube.com/watch?v=cLX8eUyxJAI,19 Dec 2017,"67,376","2,150",95
37,https://www.youtube.com/watch?v=P9FvLDtNP2w,7 Jul 2019,"22,311",601,70
38,https://www.youtube.com/watch?v=CKULwce4XmA,12 Jan 2017,"24,528,616","34,434","19,728"
39,https://www.youtube.com/watch?v=DjYU_bPlRao,11 May 2012,"56,510,262","50,551","23,997"
40,https://www.youtube.com/watch?v=Ar27BWNHgmA,31 Mar 2016,"3,262",18,1 dislike
41,https://www.youtube.com/watch?v=Ec0d9_Ps8p8,15 Apr 2016,"149,750,361","420,490","237,867"
42,https://www.youtube.com/watch?v=KFfuQOgRsXk,20 Mar 2020,"3,919",94,6
43,https://www.youtube.com/watch?v=JPOO_WYRcAI,6 Nov 2017,"43,283",496,9
44,https://www.youtube.com/watch?v=FUstnlQzd3I,29 May 2018,"55,514",682,57
45,https://www.youtube.com/watch?v=9maz-P4BEPc,20 Jul 2016,"3,037,946","79,897",731
46,https://www.youtube.com/watch?v=AhovTR_NI7g,29 Aug 2019,10,1 like,None
47,https://www.youtube.com/watch?v=DUJkWyuhK3U,Premiered 9 hours ago,103,10,None
48,https://www.youtube.com/watch?v=wJuZ7GgHPxw,20 Jan 2019,"5,398",181,17
49,https://www.youtube.com/watch?v=IuFHkANRuu0,13 Jan 2020,"55,065","2,081",68
50,https://www.youtube.com/watch?v=JYjcZqLN_gc,19 Dec 2017,27,3,1 dislike
51,https://www.youtube.com/watch?v=IxJmrHO3WJo,8 Aug 2020,"114,883","6,957",74
52,https://www.youtube.com/watch?v=zPwnW-p3B9o,24 May 2020,"13,533",231,7
53,https://www.youtube.com/watch?v=kNvpzHpLfrg,27 Sep 2020,"2,262",268,2
54,https://www.youtube.com/watch?v=TjzZsclieZs,19 Jan 2013,"51,481",93,46
55,https://www.youtube.com/watch?v=LjxulQ1bEWg,15 May 2018,"1,040,783,673","5,321,616","306,753"
56,https://www.youtube.com/watch?v=tHv7zyeGKJY,11 Dec 2019,257,1 like,None
57,https://www.youtube.com/watch?v=Pm8NDj5FOLE,12 Dec 2019,"3,919",108,2
58,https://www.youtube.com/watch?v=R2Jr2I23QsQ,23 Sep 2014,"11,867",109,6
59,https://www.youtube.com/watch?v=aKDHrNY1LKw,20 Apr 2008,"2,398,512","4,702","1,149"
60,https://www.youtube.com/watch?v=O5_eqetEMaw,3 Sep 2017,"12,159",44,8
61,https://www.youtube.com/watch?v=DejuUCwDOqw,11 Nov 2013,"179,807",927,20
62,https://www.youtube.com/watch?v=rn83OWgGYNo,3 Jul 2019,"6,319",144,7
63,https://www.youtube.com/watch?v=NHM-iJX1AMU,27 Aug 2018,"159,521","1,659",179
64,https://www.youtube.com/watch?v=mbOJ2qgOrpc,Premiered on 27 Aug 2020,"1,422",36,7
65,https://www.youtube.com/watch?v=cPHi8naS3xc,Streamed live on 31 May 2020,"8,411","1,256",5
66,https://www.youtube.com/watch?v=a4SyoAppjWc,24 Mar 2018,"164,164,438","613,202","356,045"
67,https://www.youtube.com/watch?v=nf4Zt6j531k,25 Jan 2019,578,3,None
68,https://www.youtube.com/watch?v=scJW9A0OIYo,17 Nov 2014,"1,940,758","12,847","1,417"
69,https://www.youtube.com/watch?v=2I3NgxDAiqE,12 Mar 2014,"150,243,276","496,840","54,431"
70,https://www.youtube.com/watch?v=IgOA7HEgxlk,11 May 2020,"19,928",656,23
71,https://www.youtube.com/watch?v=jWnnpIPAPL8,10 Nov 2017,"938,330","47,795",304
72,https://www.youtube.com/watch?v=Gbx-EQ3vfVg,Premiered on 17 Nov 2019,"12,759",611,39
73,https://www.youtube.com/watch?v=r3tKm3DM41M,20 Feb 2020,"276,427","2,374",215
74,https://www.youtube.com/watch?v=nYBU67X0xbQ,17 Apr 2010,"187,270",988,25
75,https://www.youtube.com/watch?v=zRrxvOB18EI,30 Jan 2019,"65,091,695","138,236","65,209"
76,https://www.youtube.com/watch?v=gy-8Xcr1pYU,8 Jun 2020,"21,569",494,5
77,https://www.youtube.com/watch?v=BznrdRKLLuc,8 Oct 2008,"345,439","1,962",70
78,https://www.youtube.com/watch?v=ADE6UYhtT1I,15 Apr 2017,"56,580","1,763",104
79,https://www.youtube.com/watch?v=XeraCWlYFwA,14 Oct 2019,"11,353,665","126,901","5,838"
80,https://www.youtube.com/watch?v=av_ySQqLlz8,31 Mar 2016,"1,065",2,1 dislike
81,https://www.youtube.com/watch?v=u0fIpD2D5yc,27 Feb 2020,"20,770",517,20
82,https://www.youtube.com/watch?v=aZ6XZiOJlYI,21 Nov 2015,"31,920",105,16
83,https://www.youtube.com/watch?v=B4ginIyUkn0,14 Sep 2020,"19,835",587,22
84,https://www.youtube.com/watch?v=629B0KT1zCo,17 Sep 2019,"8,689",225,5
85,https://www.youtube.com/watch?v=OgMneCCdOKM,1 Dec 2019,"67,345","2,689",59
86,https://www.youtube.com/watch?v=ztZDr0mHVKw,11 Sep 2020,"1,395",177,3
87,https://www.youtube.com/watch?v=4wHt9boBCs8,23 Sep 2018,"91,388","4,940",83
88,https://www.youtube.com/watch?v=1tVP_xDg4lo,15 Dec 2018,"428,270","8,412","1,054"
89,https://www.youtube.com/watch?v=1W2XNe6APBI,8 Aug 2019,"8,976,962","34,773","13,301"
90,https://www.youtube.com/watch?v=JwauURLG1Tw,20 Jan 2018,"258,252","10,575",270
91,https://www.youtube.com/watch?v=d7YbKj7x5xo,28 Sep 2020,23,6,None
92,https://www.youtube.com/watch?v=Q68LoX_4oWw,16 Jun 2017,"1,903",13,1 dislike
93,https://www.youtube.com/watch?v=j7c6XAwOttY,7 Jun 2020,"61,323",627,15
94,https://www.youtube.com/watch?v=vbRlA93ppLY,24 Oct 2011,"270,312",957,48
95,https://www.youtube.com/watch?v=ab4TNF0qF0E,21 Dec 2019,"28,398",990,10
96,https://www.youtube.com/watch?v=yrHDMEPsTLI,31 Dec 2019,"210,151","3,743",95
97,https://www.youtube.com/watch?v=hS2Sh1NvHjA,Premiered on 4 Mar 2020,"4,281",123,None
98,https://www.youtube.com/watch?v=oLY1rss9Jx8,19 May 2016,"7,578,630","95,425","2,111"
99,https://www.youtube.com/watch?v=YuOAepgy688,30 Nov 2019,"14,008",41,2
100,https://www.youtube.com/watch?v=iQFex0M3dkI,16 Sep 2020,607,49,None
101,https://www.youtube.com/watch?v=abQDdWCLHV4,20 Jun 2019,"1,641",54,3
102,https://www.youtube.com/watch?v=1kzWwf5ibH4,8 Jun 2016,"390,638","2,916",122
103,https://www.youtube.com/watch?v=KuwBSusTick,7 Sep 2020,844,76,None
104,https://www.youtube.com/watch?v=Q5taO1bvYVw,1 May 2020,251,41,None
105,https://www.youtube.com/watch?v=7xQRu62HAG8,29 Sep 2020,28,4,None
106,https://www.youtube.com/watch?v=PBwaRAd9b5g,30 Oct 2019,"1,716,318","41,910",637
107,https://www.youtube.com/watch?v=iLI7LT_uDFw,16 Jun 2019,"85,713","1,157",131
108,https://www.youtube.com/watch?v=VMl0YXPaZp0,17 Jan 2020,674,11,2
109,https://www.youtube.com/watch?v=txEpqWt5JP0,14 Sep 2020,"1,723",70,6
110,https://www.youtube.com/watch?v=nD0g-nPgNsA,16 Mar 2012,"70,013",906,13
111,https://www.youtube.com/watch?v=Wnc-NCarjuE,26 Sep 2020,"341,679","18,319",306
112,https://www.youtube.com/watch?v=qW2PtfGMC1c,17 Sep 2018,"19,227,717","526,263","11,770"
113,https://www.youtube.com/watch?v=VwBj9kg6A7g,26 Feb 2016,"18,013,493","107,465","26,038"
114,https://www.youtube.com/watch?v=radOIJRI8jk,16 Nov 2019,"9,384",252,8
115,https://www.youtube.com/watch?v=VuyIFERtKlQ,21 Jun 2019,"236,232","1,930",93
116,https://www.youtube.com/watch?v=fs75HfeL1io,18 Oct 2018,68,None,None
117,https://www.youtube.com/watch?v=LDS55S5NsEM,Premiered on 13 Feb 2020,"24,741,411","31,266","5,849"
118,https://www.youtube.com/watch?v=39j27waEiCs,13 Mar 2019,"5,753,951","17,922","2,041"
119,https://www.youtube.com/watch?v=L-rioVnwRw4,11 Nov 2019,996,12,None
120,https://www.youtube.com/watch?v=GbggIwSnGzI,29 Sep 2020,8,None,None
121,https://www.youtube.com/watch?v=xmCOorqKSJs,7 Jun 2019,"306,846","2,466",215
122,https://www.youtube.com/watch?v=2l1NANZn8pA,2 Sep 2019,"2,141",38,6
123,https://www.youtube.com/watch?v=LRtwjhe5xnQ,11 Apr 2020,583,41,1 dislike
124,https://www.youtube.com/watch?v=dupSdvHJkSM,Premiered on 18 Jun 2020,76,13,1 dislike
125,https://www.youtube.com/watch?v=vyJnhpECxTQ,21 Mar 2020,972,20,1 dislike
126,https://www.youtube.com/watch?v=8rr4cOBJgQc,2 Sep 2019,"9,455",296,10
127,https://www.youtube.com/watch?v=B5dG0eYJ55w,3 Jul 2020,"2,999",110,14
128,https://www.youtube.com/watch?v=p4bdPdG9lpg,12 Apr 2017,"12,291,083","81,933","16,517"
129,https://www.youtube.com/watch?v=ALb_5xNkIqk,21 Jan 2020,739,24,None
130,https://www.youtube.com/watch?v=1K5jnow49uQ,4 Jan 2020,"35,505","1,489",23
131,https://www.youtube.com/watch?v=PPDp-aUCiSk,9 Aug 2015,"85,281","1,072",44
132,https://www.youtube.com/watch?v=Oron0rVcNsU,Premiered on 25 Sep 2020,273,47,None
133,https://www.youtube.com/watch?v=oRB2PmHw9y8,26 Dec 2019,688,16,1 dislike
134,https://www.youtube.com/watch?v=Gs2Hvw_CHSs,27 Sep 2020,"3,695",131,1 dislike
135,https://www.youtube.com/watch?v=VH8EIVGyuz4,26 Nov 2018,"12,581",167,9
136,https://www.youtube.com/watch?v=LudWYC6o5lY,6 Sep 2014,"19,797",55,10
137,https://www.youtube.com/watch?v=ibm7Q1u3Mmk,10 Mar 2018,"131,171","1,759",49
138,https://www.youtube.com/watch?v=W3cAqxfY6PI,21 Nov 2018,"1,110,796","23,627",409
139,https://www.youtube.com/watch?v=pKg9gdMrJ-c,30 Sep 2013,"74,913",471,19
140,https://www.youtube.com/watch?v=i3aMdlKNneo,28 Sep 2019,"33,726,308","231,010","141,046"
141,https://www.youtube.com/watch?v=qHNICdmDx8I,20 Mar 2020,"3,363",50,1 dislike
142,https://www.youtube.com/watch?v=R2t8hrJ4EtA,13 Jul 2020,639,59,1 dislike
143,https://www.youtube.com/watch?v=mY_zpuVBDk8,11 Jul 2014,"2,751",9,None
144,https://www.youtube.com/watch?v=bz_Lh51sOkA,24 Feb 2019,8,None,None
145,https://www.youtube.com/watch?v=6RNrQbZ-WwM,31 Jan 2020,"2,125",72,2
146,https://www.youtube.com/watch?v=ao532WkRV2Q,10 Dec 2019,"2,866",69,2
147,https://www.youtube.com/watch?v=1k5GIa0NIFs,26 Jan 2020,"3,993",83,None
148,https://www.youtube.com/watch?v=dLUNyu7vTrs,1 May 2015,"224,922","4,012",160
149,https://www.youtube.com/watch?v=EcNIRL6LvX0,23 Aug 2018,"89,533","3,033",237
150,https://www.youtube.com/watch?v=mrMSxmTSZio,20 May 2020,24,2,None
151,https://www.youtube.com/watch?v=7g2aJtTJcsE,5 Sep 2020,"567,166","29,245",485
152,https://www.youtube.com/watch?v=9TCASibGAIg,9 May 2019,588,15,2
153,https://www.youtube.com/watch?v=pYTv2c-mXIM,Streamed live on 17 Apr 2020,921,62,1 dislike
154,https://www.youtube.com/watch?v=0x9kzaIRhNY,5 Oct 2019,851,30,2
155,https://www.youtube.com/watch?v=Vp1VSj4QgLs,Premiered on 24 Sep 2020,296,59,None
156,https://www.youtube.com/watch?v=dIdoAr7CIdw,12 Aug 2009,"158,631",447,35
157,https://www.youtube.com/watch?v=JcJtwfeMhFE,Streamed live on 27 Sep 2020,215,15,None
158,https://www.youtube.com/watch?v=_rOtTobO8Wg,3 Sep 2018,"739,536","13,173",821
159,https://www.youtube.com/watch?v=yVwraDqZQZU,14 Apr 2019,"35,632,553","98,516","42,634"
160,https://www.youtube.com/watch?v=WM_7HOIs4mA,Premiered on 3 Feb 2020,"1,595,283","20,953","2,651"
161,https://www.youtube.com/watch?v=5tm0nuQfOWU,28 Sep 2020,312,38,None
162,https://www.youtube.com/watch?v=KHC2bzNTTxM,Premiered on 21 Sep 2020,324,46,None
163,https://www.youtube.com/watch?v=TQ8_D_K6wJQ,20 Jun 2019,"157,374","2,865",136
164,https://www.youtube.com/watch?v=JuRg_Q7bICQ,Premiered on 26 Sep 2020,256,39,None
165,https://www.youtube.com/watch?v=g5RO196wcsQ,18 Mar 2018,"2,713,037","17,281","2,224"
166,https://www.youtube.com/watch?v=TWcWD1Av9jY,5 Aug 2018,"15,578",120,5
167,https://www.youtube.com/watch?v=xQBXJcOnxcw,18 Nov 2018,"6,286,554","74,540","2,020"
168,https://www.youtube.com/watch?v=Rpgz254ICEk,15 Mar 2020,32,None,None
169,https://www.youtube.com/watch?v=qPh13nhGM_s,7 Aug 2020,116,None,None
170,https://www.youtube.com/watch?v=Z63uOaK6QnQ,9 Mar 2012,"96,360",413,35
171,https://www.youtube.com/watch?v=ZrdRl1D0qkk,5 Nov 2018,"6,944",256,14
172,https://www.youtube.com/watch?v=AVMfbkQg7Uo,1 Apr 2018,"1,004,760","5,325",749
173,https://www.youtube.com/watch?v=KbN-cOyUuNA,8 Aug 2018,"1,711,234","31,029","2,851"
174,https://www.youtube.com/watch?v=K02WEF2pLu4,10 Sep 2020,331,8,None
175,https://www.youtube.com/watch?v=x0QTlcJqNz4,19 Aug 2020,"1,082",115,None
176,https://www.youtube.com/watch?v=ExQX69sVUMs,8 Feb 2018,"2,157",28,2
177,https://www.youtube.com/watch?v=m49riGu8zio,29 Jul 2015,"48,026",497,23
178,https://www.youtube.com/watch?v=9JuEBSr8rsA,24 May 2017,"8,240",58,None
179,https://www.youtube.com/watch?v=8EuFL7QiQPI,11 May 2019,"6,913,962","32,860","18,882"
180,https://www.youtube.com/watch?v=bFRSJmTWtIk,16 Jun 2020,"2,259",29,1 dislike
181,https://www.youtube.com/watch?v=lCNtfa8faBg,17 Jul 2020,787,42,None
182,https://www.youtube.com/watch?v=-Vjq-723VDY,28 Sep 2020,8,1 like,None
183,https://www.youtube.com/watch?v=L9jNwVThG8E,19 Sep 2019,"240,799","2,948",123
184,https://www.youtube.com/watch?v=M7assi-HDfM,18 Nov 2017,"135,582","1,382",89
185,https://www.youtube.com/watch?v=0aeJczxLHyg,9 Jun 2020,10,1 like,None
186,https://www.youtube.com/watch?v=47KaEX5Pc0g,Premiered on 7 Aug 2020,"6,039,780","85,479","8,543"
187,https://www.youtube.com/watch?v=sackfrbtAyw,10 Jun 2019,"131,027","2,526",84
188,https://www.youtube.com/watch?v=pjnML-MzG9I,21 Aug 2020,223,3,None
189,https://www.youtube.com/watch?v=VVPgs_MDSoI,Premiered on 21 Jun 2020,"7,149,971","219,901","6,567"
190,https://www.youtube.com/watch?v=55onVnAvSDU,26 Aug 2016,"2,231,066","11,310","1,740"
191,https://www.youtube.com/watch?v=MDnaWlULa-o,Premiered on 20 Sep 2020,485,64,1 dislike
192,https://www.youtube.com/watch?v=inut6i4LzKo,16 Dec 2019,"20,750",739,35
193,https://www.youtube.com/watch?v=nfD7PRaX1VI,10 Sep 2019,"51,556","1,059",51
194,https://www.youtube.com/watch?v=47wdZyN5GU8,16 Jan 2009,"3,538,695","8,791","1,236"
195,https://www.youtube.com/watch?v=ZR8lxW_-VJQ,28 Sep 2020,11,2,None
196,https://www.youtube.com/watch?v=D2LieRsAbag,24 Apr 2020,"1,117",50,2
197,https://www.youtube.com/watch?v=RhMYBfF7-hE,8 May 2020,"127,147,109","2,070,825","137,745"
198,https://www.youtube.com/watch?v=6DGJeXYAMNU,Streamed live on 15 Sep 2020,140,2,None
199,https://www.youtube.com/watch?v=xbCk8MyfO24,19 Oct 2018,"4,485",71,3
200,https://www.youtube.com/watch?v=dBSpbikm-tg,26 Jul 2014,"12,526",96,5
201,https://www.youtube.com/watch?v=bMR5oBD-p9M,Premiered 20 hours ago,204,30,None
202,https://www.youtube.com/watch?v=fWu6pIohqEI,Premiered on 3 Apr 2020,"3,218",145,3
203,https://www.youtube.com/watch?v=q3USLJsq6A0,26 Nov 2015,"17,300",33,None
204,https://www.youtube.com/watch?v=Jd5OvatA6SM,14 Feb 2017,"749,246","34,517",440
205,https://www.youtube.com/watch?v=w0PVHg_EEdM,3 Jan 2013,"487,208","2,539",90
206,https://www.youtube.com/watch?v=ey307HRTUb8,8 Feb 2020,"6,630,773","57,482","1,589"
207,https://www.youtube.com/watch?v=6Vr6qWbq5Mo,13 Oct 2016,"178,524","1,493",71
208,https://www.youtube.com/watch?v=ynZSHXjy7lg,28 Feb 2013,"22,906",184,13
209,https://www.youtube.com/watch?v=09LTT0xwdfw,26 Oct 2009,"121,525,370","751,916","25,517"
210,https://www.youtube.com/watch?v=XPTB4aFBgKw,13 Sep 2017,"377,266","2,555",67
211,https://www.youtube.com/watch?v=G9zaOA9Xlqw,6 May 2019,"17,838",205,4
212,https://www.youtube.com/watch?v=4DOwMnu6t60,6 Apr 2020,"3,809",124,6
213,https://www.youtube.com/watch?v=LGF9trIEhkc,9 Jul 2020,810,55,4
214,https://www.youtube.com/watch?v=NlxFIxEJp7Y,Streamed live on 2 Feb 2020,"17,002",384,21
215,https://www.youtube.com/watch?v=Twzjup24gb4,15 Aug 2020,680,165,1 dislike
216,https://www.youtube.com/watch?v=3BiadbUl6rQ,7 Jul 2019,"3,424",99,1 dislike
217,https://www.youtube.com/watch?v=BMv-s9yScCg,8 Jul 2017,"6,406",45,6
218,https://www.youtube.com/watch?v=saTAvdGMe8Q,16 Jun 2019,"44,687",402,59
219,https://www.youtube.com/watch?v=Exb-bk9zub0,18 Sep 2020,313,4,None
220,https://www.youtube.com/watch?v=TdxJVg1cWBs,30 Jan 2018,"344,860","2,412",143
221,https://www.youtube.com/watch?v=wV3N-wCRL2k,28 Jun 2018,"1,071,820,713","3,177,635","2,085,264"
222,https://www.youtube.com/watch?v=lcK_pQ4CNiU,Streamed live on 24 Aug 2018,"5,874",256,1 dislike
223,https://www.youtube.com/watch?v=lbhxHE8sESQ,15 Nov 2017,975,4,None
224,https://www.youtube.com/watch?v=AShuUpGAXWU,17 Apr 2020,11,None,None
225,https://www.youtube.com/watch?v=k0J9Q-jwDWQ,7 Sep 2019,14,1 like,None
226,https://www.youtube.com/watch?v=mGVaHGM5QxQ,1 Nov 2018,"51,781",756,92
227,https://www.youtube.com/watch?v=0mLEOYaAWFg,Premiered on 31 Dec 2019,901,22,6
228,https://www.youtube.com/watch?v=GbP_V2DeAzE,21 Feb 2015,"1,110,510","21,543",791
229,https://www.youtube.com/watch?v=nsnUnUnervY,28 Mar 2020,"137,739","4,518",114
230,https://www.youtube.com/watch?v=nxHvEDLt7Hk,31 Oct 2014,"33,848",266,15
231,https://www.youtube.com/watch?v=fTO649MedaI,23 Oct 2019,"564,694","5,071",317
232,https://www.youtube.com/watch?v=F5PNo18xa4E,2 Jan 2020,"6,385,606","27,954","4,999"
233,https://www.youtube.com/watch?v=Ce7J3uND-Uo,5 Mar 2019,"16,040",181,10
234,https://www.youtube.com/watch?v=qnVqgcqvKRM,19 Dec 2017,"6,477",97,5
235,https://www.youtube.com/watch?v=Ss6qf0U12Zs,3 Mar 2012,"3,266",10,None
236,https://www.youtube.com/watch?v=oxaZZYqKgPs,21 Sep 2020,"6,066",274,10
237,https://www.youtube.com/watch?v=L60GmbAC670,16 Dec 2019,"1,461",49,None
238,https://www.youtube.com/watch?v=5J2lpe4GPQA,24 Mar 2014,"6,003",45,2
